"Date","Price","Open","High","Low","Vol.","Change %"
"10/28/2025","122.77","123.80","124.05","122.60","5.62M","-0.55%"
"10/27/2025","123.45","123.88","124.65","123.31","5.38M","-0.23%"
"10/24/2025","123.73","124.77","124.90","123.55","6.03M","-1.10%"
"10/23/2025","125.11","125.81","125.97","124.90","5.01M","-0.07%"
"10/21/2025","125.20","125.63","126.00","125.00","2.11M","0.10%"
"10/20/2025","125.07","123.97","125.57","123.60","6.73M","1.25%"
"10/17/2025","123.52","124.72","125.17","122.71","10.00M","-0.96%"
"10/16/2025","124.72","125.50","125.72","124.40","9.72M","-0.13%"
"10/15/2025","124.88","125.40","128.51","124.30","17.48M","0.29%"
"10/14/2025","124.52","125.50","126.48","124.00","6.67M","-0.78%"
"10/13/2025","125.50","125.05","126.10","124.69","6.07M","-0.79%"
"10/10/2025","126.50","125.07","127.20","124.72","7.69M","1.14%"
"10/09/2025","125.07","124.91","125.35","123.81","5.77M","0.62%"
"10/08/2025","124.30","127.53","127.53","124.00","12.88M","-2.19%"
"10/07/2025","127.08","125.50","127.49","125.05","9.67M","1.47%"
"10/06/2025","125.24","125.84","126.25","124.54","5.11M","-0.48%"
"10/03/2025","125.85","125.54","127.18","125.01","6.05M","0.25%"
"10/01/2025","125.54","123.50","125.97","123.50","8.72M","1.64%"
"09/30/2025","123.51","126.00","126.00","122.55","10.10M","-0.60%"
"09/29/2025","124.26","123.13","124.60","122.50","10.56M","1.93%"
"09/26/2025","121.91","124.08","124.30","121.56","6.00M","-1.75%"
"09/25/2025","124.08","125.45","127.50","123.61","6.42M","-1.20%"
"09/24/2025","125.59","127.30","127.72","125.31","4.54M","-1.34%"
"09/23/2025","127.29","128.23","128.93","127.00","5.86M","-0.97%"
"09/22/2025","128.54","129.25","130.44","128.26","6.58M","-0.89%"
"09/19/2025","129.69","129.29","130.38","128.81","8.69M","0.31%"
"09/18/2025","129.29","129.91","130.85","128.60","7.53M","-0.03%"
"09/17/2025","129.33","129.45","130.50","128.80","9.41M","0.29%"
"09/16/2025","128.96","128.45","129.29","127.50","7.00M","0.61%"
"09/15/2025","128.18","126.20","130.35","126.01","22.26M","1.54%"
"09/12/2025","126.23","125.98","126.49","125.35","5.84M","0.56%"
"09/11/2025","125.53","126.31","126.79","125.40","4.77M","-0.52%"
"09/10/2025","126.18","125.10","127.27","125.05","8.95M","1.09%"
"09/09/2025","124.82","124.90","125.82","123.79","7.61M","0.20%"
"09/08/2025","124.57","124.10","125.65","123.57","7.88M","0.90%"
"09/05/2025","123.46","122.25","123.71","121.74","6.95M","1.50%"
"09/04/2025","121.63","124.09","124.56","121.21","7.73M","-1.58%"
"09/03/2025","123.58","123.65","124.23","122.69","7.34M","0.48%"
"09/02/2025","122.99","121.21","125.92","120.61","21.01M","2.03%"
"09/01/2025","120.54","118.40","120.90","118.23","7.84M","2.06%"
"08/29/2025","118.11","119.00","119.65","117.33","8.88M","-0.40%"
"08/28/2025","118.58","121.20","121.63","118.20","10.30M","-2.16%"
"08/26/2025","121.20","124.25","124.61","121.10","9.39M","-2.54%"
"08/25/2025","124.36","125.05","125.95","124.20","5.15M","-0.50%"
"08/22/2025","124.98","125.44","126.20","124.85","4.94M","-0.37%"
"08/21/2025","125.44","126.80","128.55","125.17","10.92M","-1.02%"
"08/20/2025","126.73","127.34","127.72","125.81","8.41M","-0.06%"
"08/19/2025","126.80","125.41","126.98","124.05","7.35M","1.63%"
"08/18/2025","124.77","125.44","126.74","124.50","6.01M","0.22%"
"08/14/2025","124.50","125.65","126.35","124.21","4.33M","-0.92%"
"08/13/2025","125.65","125.10","126.63","124.90","6.38M","0.50%"
"08/12/2025","125.03","127.00","127.70","124.90","11.31M","-1.41%"
"08/11/2025","126.82","125.28","127.49","124.55","11.78M","1.23%"
"08/08/2025","125.28","127.85","127.85","125.00","6.29M","-1.55%"
"08/07/2025","127.25","127.00","127.95","124.10","9.60M","-0.21%"
"08/06/2025","127.52","128.36","128.97","126.69","6.33M","-0.65%"
"08/05/2025","128.36","129.73","130.60","127.89","5.97M","-1.06%"
"08/04/2025","129.74","127.42","130.08","127.31","10.14M","2.25%"
"08/01/2025","126.89","128.34","129.07","126.37","8.80M","-1.13%"
"07/31/2025","128.34","130.09","130.24","127.00","11.61M","-2.33%"
"07/30/2025","131.40","132.22","133.84","130.69","7.58M","-0.62%"
"07/29/2025","132.22","131.00","132.76","130.38","7.16M","0.99%"
"07/28/2025","130.92","131.95","134.45","130.54","10.35M","-0.84%"
"07/25/2025","132.03","135.50","135.50","130.98","11.16M","-2.67%"
"07/24/2025","135.65","135.05","138.00","134.35","23.01M","0.59%"
"07/23/2025","134.85","133.71","136.80","133.04","53.10M","3.12%"
"07/22/2025","130.77","135.04","135.13","130.51","16.45M","-2.68%"
"07/21/2025","134.37","134.01","135.20","132.71","6.92M","0.40%"
"07/18/2025","133.84","134.99","135.43","133.70","6.41M","-0.79%"
"07/17/2025","134.91","136.00","136.10","134.41","6.64M","-0.40%"
"07/16/2025","135.45","135.29","136.50","135.02","7.46M","0.12%"
"07/15/2025","135.29","134.29","136.57","133.80","10.15M","0.88%"
"07/14/2025","134.11","135.25","135.40","133.70","8.06M","-0.86%"
"07/11/2025","135.28","137.00","137.37","135.00","6.92M","-1.35%"
"07/10/2025","137.13","137.60","138.94","136.77","5.71M","-0.33%"
"07/09/2025","137.59","138.20","139.00","137.14","5.70M","-0.44%"
"07/08/2025","138.20","138.54","139.39","136.80","6.42M","-0.25%"
"07/07/2025","138.54","139.17","140.00","138.25","5.32M","-0.50%"
"07/04/2025","139.24","139.75","140.47","138.31","6.60M","-0.33%"
"07/03/2025","139.70","140.31","141.48","139.27","6.72M","-0.43%"
"07/02/2025","140.31","141.50","142.60","139.40","8.09M","-0.84%"
"07/01/2025","141.50","142.06","143.15","140.72","8.32M","-0.16%"
"06/30/2025","141.72","140.19","142.79","140.10","11.93M","1.24%"
"06/27/2025","139.99","140.50","142.30","139.65","12.35M","0.09%"
"06/26/2025","139.87","139.57","140.32","138.20","11.72M","0.21%"
"06/25/2025","139.57","138.75","141.33","138.70","11.33M","0.69%"
"06/24/2025","138.62","138.20","140.15","138.03","13.64M","1.20%"
"06/23/2025","136.98","132.25","137.37","132.05","18.53M","2.07%"
"06/20/2025","134.20","132.35","136.10","132.30","19.22M","1.40%"
"06/19/2025","132.35","136.00","136.71","131.56","13.37M","-2.70%"
"06/18/2025","136.02","137.75","138.55","135.70","9.41M","-1.31%"
"06/17/2025","137.83","140.00","140.68","137.50","8.45M","-1.51%"
"06/16/2025","139.94","137.35","140.29","135.56","13.77M","1.16%"
"06/13/2025","138.33","136.01","139.71","136.01","16.26M","-1.52%"
"06/12/2025","140.47","145.54","146.19","140.11","17.97M","-3.42%"
"06/11/2025","145.45","145.90","147.68","144.47","15.75M","0.15%"
"06/10/2025","145.23","147.70","147.81","145.02","14.83M","-1.18%"
"06/09/2025","146.96","147.25","148.95","146.78","22.60M","0.38%"
"06/06/2025","146.41","145.40","147.50","143.90","25.33M","0.78%"
"06/05/2025","145.27","147.40","148.00","144.14","33.14M","0.22%"
"06/04/2025","144.95","140.81","146.79","139.00","60.46M","2.94%"
"06/03/2025","140.81","142.80","144.30","140.50","23.10M","-0.85%"
"06/02/2025","142.02","138.80","143.35","138.21","26.06M","2.21%"
"05/30/2025","138.95","140.10","141.40","137.85","13.74M","-0.72%"
"05/29/2025","139.96","140.90","142.24","139.20","15.89M","-0.27%"
"05/28/2025","140.34","140.19","141.69","139.81","15.88M","0.49%"
"05/27/2025","139.65","140.20","140.89","138.10","17.28M","-0.38%"
"05/26/2025","140.18","136.71","141.00","136.51","26.06M","2.54%"
"05/23/2025","136.71","137.00","137.75","134.59","15.54M","-0.09%"
"05/22/2025","136.83","137.00","139.00","135.24","14.98M","-0.91%"
"05/21/2025","138.08","136.71","139.31","135.59","19.24M","1.00%"
"05/20/2025","136.71","142.00","142.45","136.15","28.84M","-3.38%"
"05/19/2025","141.49","140.00","143.61","139.60","56.29M","2.08%"
"05/16/2025","138.61","130.80","140.22","130.00","85.47M","6.43%"
"05/15/2025","130.24","130.60","131.80","129.36","23.54M","0.22%"
"05/14/2025","129.96","125.00","130.28","124.70","30.89M","4.17%"
"05/13/2025","124.76","125.70","126.10","123.30","14.66M","-0.61%"
"05/12/2025","125.53","122.50","125.95","120.88","20.29M","7.83%"
"05/09/2025","116.42","115.50","117.75","114.33","18.64M","-2.12%"
"05/08/2025","118.94","122.50","123.44","118.00","10.64M","-1.91%"
"05/07/2025","121.25","116.99","121.90","116.69","16.86M","0.73%"
"05/06/2025","120.37","125.25","125.80","120.01","14.45M","-3.71%"
"05/05/2025","125.01","124.86","125.89","124.11","10.50M","0.65%"
"05/02/2025","124.20","124.34","126.85","124.00","13.48M","-0.22%"
"04/30/2025","124.47","126.99","127.25","123.50","11.62M","-1.94%"
"04/29/2025","126.93","128.59","129.50","126.69","14.09M","-0.19%"
"04/28/2025","127.17","128.00","129.60","125.63","27.14M","-1.27%"
"04/25/2025","128.80","133.49","134.14","126.22","30.37M","-3.46%"
"04/24/2025","133.42","135.00","137.66","133.00","28.86M","-0.70%"
"04/23/2025","134.36","133.00","135.11","129.23","27.53M","1.55%"
"04/22/2025","132.31","132.15","133.50","130.51","14.64M","0.67%"
"04/21/2025","131.43","130.00","132.10","128.58","15.83M","1.51%"
"04/17/2025","129.48","129.99","131.00","128.16","18.56M","0.33%"
"04/16/2025","129.06","129.00","129.94","128.02","14.42M","0.62%"
"04/15/2025","128.27","125.79","128.50","125.00","14.46M","3.35%"
"04/11/2025","124.11","126.00","126.40","123.40","9.78M","0.85%"
"04/09/2025","123.06","124.40","124.69","122.50","9.18M","-1.09%"
"04/08/2025","124.41","126.50","126.69","123.20","12.60M","1.63%"
"04/07/2025","122.42","113.00","124.05","113.00","23.55M","-1.94%"
"04/04/2025","124.84","127.62","128.71","124.10","15.39M","-3.34%"
"04/03/2025","129.16","125.20","129.50","125.16","16.35M","1.32%"
"04/02/2025","127.48","124.75","127.79","122.50","15.02M","2.49%"
"04/01/2025","124.38","122.81","125.21","122.36","17.76M","-0.03%"
"03/28/2025","124.42","125.95","129.20","124.00","22.40M","0.06%"
"03/27/2025","124.34","127.49","129.19","123.69","25.60M","-3.15%"
"03/26/2025","128.39","129.95","131.34","127.05","23.49M","-0.79%"
"03/25/2025","129.41","134.10","134.38","128.86","24.21M","-2.55%"
"03/24/2025","132.80","130.70","134.60","130.50","25.78M","2.42%"
"03/21/2025","129.66","128.00","130.60","127.00","18.90M","0.89%"
"03/20/2025","128.52","130.50","131.85","128.00","28.72M","0.32%"
"03/19/2025","128.11","122.50","128.50","122.25","28.68M","5.18%"
"03/18/2025","121.80","119.50","122.28","118.83","15.27M","2.55%"
"03/17/2025","118.77","118.01","119.72","117.61","13.32M","0.92%"
"03/13/2025","117.69","119.44","120.00","117.00","11.47M","-1.27%"
"03/12/2025","119.20","120.20","121.20","118.02","13.10M","-0.08%"
"03/11/2025","119.30","118.00","120.60","116.57","17.05M","-0.38%"
"03/10/2025","119.75","124.10","125.42","118.45","21.46M","-2.97%"
"03/07/2025","123.42","120.99","124.99","119.90","31.22M","2.35%"
"03/06/2025","120.59","119.51","121.38","118.80","23.21M","2.43%"
"03/05/2025","117.73","115.10","118.33","114.66","21.56M","2.74%"
"03/04/2025","114.59","111.20","115.35","110.00","42.34M","3.11%"
"03/03/2025","111.13","112.99","115.86","108.04","42.92M","-1.15%"
"02/28/2025","112.42","118.99","119.43","111.70","28.93M","-6.60%"
"02/27/2025","120.36","123.50","124.00","119.50","18.75M","-2.35%"
"02/25/2025","123.26","123.40","125.37","122.81","13.27M","-0.17%"
"02/24/2025","123.47","124.39","125.15","122.50","13.84M","-1.31%"
"02/21/2025","125.11","124.80","127.60","123.74","25.32M","0.26%"
"02/20/2025","124.78","123.69","125.98","122.40","13.86M","0.41%"
"02/19/2025","124.27","118.20","125.84","117.21","33.29M","4.19%"
"02/18/2025","119.27","121.80","122.19","117.85","17.61M","-2.06%"
"02/17/2025","121.78","120.72","122.83","117.88","22.54M","0.02%"
"02/14/2025","121.75","127.20","127.95","121.00","18.63M","-3.81%"
"02/13/2025","126.57","125.60","128.80","125.35","15.47M","0.97%"
"02/12/2025","125.35","126.00","127.10","119.29","36.50M","-0.71%"
"02/11/2025","126.25","131.34","131.65","125.50","20.57M","-3.66%"
"02/10/2025","131.05","133.50","134.50","130.62","13.46M","-1.78%"
"02/07/2025","133.43","135.99","136.20","133.00","16.86M","-2.11%"
"02/06/2025","136.31","137.93","138.70","135.60","11.53M","-1.17%"
"02/05/2025","137.93","137.98","140.10","137.50","13.09M","0.07%"
"02/04/2025","137.84","140.00","140.20","136.10","21.70M","0.73%"
"02/03/2025","136.84","137.34","139.24","133.45","36.24M","-3.10%"
"02/01/2025","141.22","151.90","155.52","139.15","76.89M","-6.44%"
"01/31/2025","150.94","149.18","152.57","146.26","50.65M","1.83%"
"01/30/2025","148.23","142.80","149.20","141.85","40.20M","4.59%"
"01/29/2025","141.73","138.70","142.25","138.45","19.56M","2.84%"
"01/28/2025","137.82","138.00","140.19","134.72","23.23M","0.56%"
"01/27/2025","137.05","139.00","139.19","135.81","15.98M","-2.58%"
"01/24/2025","140.68","141.60","143.18","139.00","15.84M","-0.49%"
"01/23/2025","141.37","139.00","144.40","138.11","17.67M","0.80%"
"01/22/2025","140.25","142.50","142.75","136.71","19.20M","-1.50%"
"01/21/2025","142.39","146.60","146.60","141.36","21.90M","-2.94%"
"01/20/2025","146.70","147.46","148.62","144.82","32.58M","0.35%"
"01/17/2025","146.19","142.98","146.90","141.90","30.93M","2.25%"
"01/16/2025","142.98","140.00","145.75","139.20","45.56M","3.94%"
"01/15/2025","137.56","140.50","140.50","134.81","34.46M","1.48%"
"01/14/2025","135.55","130.00","136.50","129.72","30.47M","5.54%"
"01/13/2025","128.44","134.00","135.77","127.71","30.29M","-5.36%"
"01/10/2025","135.71","139.71","140.40","135.25","21.71M","-3.38%"
"01/09/2025","140.46","144.00","144.25","140.05","12.45M","-2.30%"
"01/08/2025","143.77","146.20","146.50","142.00","16.31M","-1.53%"
"01/07/2025","146.00","146.20","147.78","144.80","13.31M","0.40%"
"01/06/2025","145.42","153.89","153.90","144.80","21.68M","-5.39%"
"01/03/2025","153.70","153.40","156.80","152.84","20.33M","1.09%"
"01/02/2025","152.04","150.65","152.47","150.00","14.37M","1.12%"
"01/01/2025","150.35","149.70","152.89","148.37","19.81M","0.88%"
"12/31/2024","149.04","149.99","150.69","145.69","41.31M","-2.81%"
